player,season,surface,matches,win_rate,avg_player_rank,avg_opponent_rank,avg_rank_diff,avg_player_points,avg_opponent_points,avg_player_odds,avg_opponent_odds,underdog_matches,best_of_5_rate,underdog_win_rate
Koepfer D.,2021,Hard,20,0.45,62.85,83.95,-21.1,1043.85,2567.7,4.0895,1.937,14,0.2,0.35714285714285715
Koepfer D.,2024,Hard,15,0.4666666666666667,59.06666666666667,45.333333333333336,13.733333333333333,901.4666666666667,2062.4,2.9886666666666666,1.912,8,0.13333333333333333,0.375
Kokkinakis T.,2022,Hard,23,0.5217391304347826,113.73913043478261,65.34782608695652,48.391304347826086,589.7391304347826,1471.695652173913,2.196086956521739,2.342173913043478,10,0.08695652173913043,0.3
Kokkinakis T.,2023,Hard,24,0.5,97.16666666666667,72.79166666666667,24.375,609.5,1538.5416666666667,2.1175,2.4058333333333333,11,0.125,0.09090909090909091
Kokkinakis T.,2024,Hard,16,0.5,87.1875,39.3125,47.875,677.125,2146.1875,2.88375,1.815,9,0.25,0.5555555555555556
Korda S.,2021,Hard,26,0.6153846153846154,72.88461538461539,46.88461538461539,26.0,1072.4615384615386,2273.1153846153848,2.1203846153846153,2.191153846153846,12,0.0,0.5
Korda S.,2022,Hard,38,0.631578947368421,44.8421052631579,58.78947368421053,-13.947368421052632,1064.1842105263158,1486.157894736842,1.7607894736842105,2.721578947368421,9,0.13157894736842105,0.4444444444444444
Korda S.,2023,Hard,31,0.6774193548387096,29.741935483870968,49.74193548387097,-20.0,1331.6129032258063,1708.0645161290322,1.8093548387096776,3.0103225806451612,4,0.16129032258064516,0.75
Korda S.,2024,Hard,26,0.6153846153846154,25.423076923076923,70.92307692307692,-45.5,1671.923076923077,1848.6923076923076,1.7576923076923079,3.0707692307692307,7,0.19230769230769232,0.2857142857142857
Korda S.,2025,Hard,30,0.5666666666666667,51.06666666666667,65.46666666666667,-14.4,1271.8333333333333,1398.6666666666667,1.7646666666666666,2.481333333333333,7,0.1,0.2857142857142857
Kotov P.,2023,Hard,17,0.47058823529411764,106.17647058823529,109.23529411764706,-3.0588235294117645,574.7647058823529,1074.1764705882354,2.6452941176470586,1.8005882352941176,13,0.11764705882352941,0.38461538461538464
Kotov P.,2024,Clay,19,0.5789473684210527,63.36842105263158,94.10526315789474,-30.736842105263158,827.5263157894736,1744.578947368421,3.5457894736842106,2.019473684210526,8,0.15789473684210525,0.375
Kotov P.,2024,Hard,20,0.35,64.1,93.05,-28.95,833.7,915.2,2.225,1.8805,16,0.15,0.3125
Kovacevic A.,2024,Hard,22,0.3181818181818182,91.04545454545455,139.63636363636363,-48.59090909090909,660.5,1102.5,2.811818181818182,1.7636363636363634,16,0.13636363636363635,0.1875
Kovacevic A.,2025,Hard,26,0.38461538461538464,77.26923076923077,110.73076923076923,-33.46153846153846,789.9230769230769,1070.7307692307693,2.2684615384615388,2.1484615384615386,14,0.038461538461538464,0.21428571428571427
Krajinovic F.,2020,Hard,24,0.5833333333333334,35.666666666666664,68.08333333333333,-32.416666666666664,1295.7083333333333,2041.0,2.7445833333333334,2.7429166666666664,8,0.20833333333333334,0.25
Krajinovic F.,2021,Clay,19,0.5263157894736842,37.89473684210526,73.52631578947368,-35.63157894736842,1613.2631578947369,1696.6315789473683,1.838421052631579,2.6621052631578945,5,0.10526315789473684,0.4
Krajinovic F.,2021,Hard,20,0.4,36.2,81.6,-45.4,1563.65,2453.15,2.7030000000000003,2.718,8,0.2,0.125
Kudla D.,2021,Hard,15,0.4,104.2,108.73333333333333,-4.533333333333333,757.4,841.2,2.362,1.774,10,0.13333333333333333,0.4
Kudla D.,2022,Hard,16,0.3125,95.8125,94.0625,1.75,648.8125,1323.75,3.625625,1.68,12,0.125,0.16666666666666666
Kwon S.W.,2021,Hard,20,0.55,82.05,100.75,-18.7,890.1,1127.2,2.2615000000000003,2.0934999999999997,11,0.1,0.36363636363636365
Kwon S.W.,2022,Hard,29,0.4827586206896552,74.75862068965517,76.65517241379311,-1.896551724137931,836.5172413793103,1293.4137931034484,2.332413793103448,2.1141379310344828,14,0.13793103448275862,0.2857142857142857
Kyrgios N.,2022,Hard,29,0.7931034482758621,65.96551724137932,41.3448275862069,24.620689655172413,983.448275862069,2485.448275862069,1.599655172413793,3.8748275862068966,6,0.2413793103448276,0.6666666666666666
Lajovic D.,2021,Hard,25,0.44,32.4,71.2,-38.8,1692.0,1974.2,3.1652,1.7112,19,0.24,0.3684210526315789
Lajovic D.,2022,Clay,16,0.375,65.0625,87.5,-22.4375,915.3125,1239.0625,2.410625,1.979375,10,0.0625,0.3
Lajovic D.,2023,Clay,26,0.5769230769230769,100.26923076923077,60.26923076923077,40.0,754.6923076923077,1674.7692307692307,2.4507692307692306,2.023846153846154,13,0.0,0.6153846153846154
Lajovic D.,2023,Hard,15,0.4666666666666667,60.8,49.733333333333334,11.066666666666666,857.3333333333334,1884.1333333333334,4.343999999999999,1.4313333333333333,14,0.13333333333333333,0.42857142857142855
Lajovic D.,2024,Clay,21,0.6190476190476191,58.42857142857143,58.61904761904762,-0.19047619047619047,886.0952380952381,1405.047619047619,2.447142857142857,1.7514285714285716,14,0.09523809523809523,0.5714285714285714
Lehecka J.,2023,Hard,32,0.53125,46.1875,81.40625,-35.21875,1034.125,1688.25,2.159375,2.4009375,14,0.1875,0.42857142857142855
Lehecka J.,2024,Hard,38,0.6578947368421053,32.44736842105263,57.578947368421055,-25.13157894736842,1378.0263157894738,2090.1052631578946,2.171578947368421,2.6218421052631578,16,0.10526315789473684,0.5
Lehecka J.,2025,Hard,34,0.6176470588235294,23.441176470588236,59.23529411764706,-35.794117647058826,2034.7058823529412,1974.0294117647059,1.9755882352941176,3.1291176470588233,8,0.23529411764705882,0.125
Lestienne C.,2023,Hard,16,0.3125,73.0625,57.5625,15.5,739.9375,1425.8125,3.7725,1.69375,12,0.1875,0.16666666666666666
Machac T.,2024,Hard,35,0.6571428571428571,48.91428571428571,59.91428571428571,-11.0,1150.5714285714287,2236.3142857142857,2.442857142857143,2.85,15,0.2,0.5333333333333333
Machac T.,2025,Hard,23,0.6521739130434783,24.391304347826086,77.69565217391305,-53.30434782608695,1930.6521739130435,1241.1304347826087,1.6995652173913045,3.1695652173913045,4,0.30434782608695654,0.25
Mager G.,2021,Clay,18,0.4444444444444444,87.77777777777777,83.77777777777777,4.0,866.2777777777778,1121.888888888889,2.522222222222222,1.651111111111111,14,0.1111111111111111,0.42857142857142855
Mager G.,2021,Hard,19,0.3684210526315789,81.42105263157895,101.36842105263158,-19.94736842105263,888.0,1221.3684210526317,2.9273684210526314,1.5773684210526315,16,0.10526315789473684,0.3125
Majchrzak K.,2022,Hard,17,0.5294117647058824,97.76470588235294,97.17647058823529,0.5882352941176471,669.8823529411765,928.8823529411765,2.745294117647059,1.9588235294117646,9,0.17647058823529413,0.2222222222222222
